model_key,country,narrator_role,axis,exposure_E_daughter,exposure_E_son,O_daughter,O_son,RSA,Q,MI,JSD,Y_F_daughter,Y_M_daughter,Y_F_son,Y_M_son,n_stories_daughter,n_stories_son,low_confidence
anthropic-haiku45,Argentina,Grandfather,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Grandmother,domain,29.12621359223301,0.0,2.955504953331702,2.4446793295657114,-0.5108256237659905,-0.24999999999999992,0.007403392114696591,0.01148240682601498,1.0,2.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Grandmother,role,184.4660194174757,129.03225806451613,-0.3752458942861302,0.3556416142566622,0.7308875085427924,0.35000000000000003,0.022000159231036223,0.02292650902580537,13.0,6.0,6.0,6.0,1.0,1.0,True
anthropic-haiku45,Argentina,Grandmother,trait,9.70873786407767,10.75268817204301,-0.43576007106859727,1.7614645062676222,2.1972245773362196,0.8,0.18872187554086717,0.18872187554086717,1.0,0.0,0.0,1.0,1.0,1.0,True
anthropic-haiku45,Argentina,Mother,domain,9.345794392523365,0.0,1.3460670408976017,2.4446793295657114,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Mother,role,186.9158878504673,229.16666666666663,-0.9436413698735987,0.3556416142566622,1.2992829841302609,0.5714285714285714,0.06517165909043383,0.06548833004089114,16.0,4.0,11.0,11.0,1.0,1.0,True
anthropic-haiku45,Argentina,Mother,trait,0.0,10.416666666666666,0.6628522175995125,-0.43576007106859727,-1.0986122886681098,-0.5,0.04411041774840095,0.0487949406953985,0.0,0.0,1.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Nanny,domain,28.846153846153847,19.23076923076923,0.498769180510398,0.8352414171316112,0.33647223662121317,0.1666666666666668,0.0024834874761203492,0.002520804885833802,3.0,0.0,2.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Nanny,role,144.23076923076923,182.69230769230768,-0.582628024336268,1.0865291227994547,1.6691571471357227,0.6829268292682927,0.11363618195896465,0.11517657498527335,11.0,4.0,6.0,13.0,1.0,1.0,True
anthropic-haiku45,Argentina,Nanny,trait,19.23076923076923,0.0,-0.9465856948345878,0.6628522175995125,1.6094379124341003,0.6666666666666666,0.07376130822286721,0.09328462323031235,2.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Older Brother,domain,10.0,11.494252873563218,1.3460670408976017,1.3460670408976017,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Older Brother,role,110.0,160.91954022988506,0.18858752959349598,1.2029394746438657,1.0143519450503697,0.4677419354838709,0.04329753061893889,0.043702028289775596,6.0,5.0,4.0,10.0,1.0,1.0,True
anthropic-haiku45,Argentina,Older Brother,trait,10.0,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Older Sister,domain,28.30188679245283,9.9009900990099,0.498769180510398,1.3460670408976017,0.8472978603872037,0.4,0.017220084695578806,0.018790976295781185,3.0,0.0,1.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Older Sister,role,150.9433962264151,237.62376237623764,0.8352146945185485,-0.4916562461305415,-1.32687094064909,-0.5806451612903226,0.07220552472641803,0.07461337476171422,6.0,10.0,17.0,7.0,1.0,1.0,True
anthropic-haiku45,Argentina,Older Sister,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Teacher,domain,10.526315789473683,0.0,1.3460670408976017,2.4446793295657114,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Teacher,role,178.94736842105263,159.5744680851064,-0.46533893781316804,1.6286072900695499,2.093946227882718,0.7806267806267807,0.17074874778421084,0.17163026098189255,12.0,5.0,3.0,12.0,1.0,1.0,True
anthropic-haiku45,Argentina,Teacher,trait,0.0,0.0,0.6628522175995125,0.6628522175995125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Uncle,domain,20.61855670103093,9.345794392523365,0.8352414171316112,1.3460670408976017,0.5108256237659905,0.24999999999999992,0.007403392114696591,0.007634593089706938,2.0,0.0,1.0,0.0,1.0,1.0,True
anthropic-haiku45,Argentina,Uncle,role,247.42268041237116,130.84112149532712,-0.6903269409260254,0.08737762766198276,0.7777045685880082,0.3703703703703703,0.02284297433371007,0.024113749952630825,18.0,6.0,8.0,6.0,1.0,1.0,True
anthropic-haiku45,Argentina,Uncle,trait,10.309278350515465,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Aunt,domain,41.23711340206186,30.612244897959183,0.24745475222949187,0.498769180510398,0.2513144282809061,0.12500000000000003,0.0011210302484466507,0.0011309452702580741,4.0,0.0,3.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Aunt,role,195.8762886597938,132.6530612244898,-0.6137589429314414,-0.7429706744114476,-0.1292117314800062,-0.06451612903225806,0.0005632216718362837,0.0005823711267054447,14.0,5.0,10.0,3.0,1.0,1.0,True
anthropic-haiku45,Australia,Aunt,trait,20.61855670103093,10.20408163265306,0.6628522175995125,1.7614645062676222,1.0986122886681096,0.49999999999999994,0.04643934467101547,0.0487949406953985,1.0,1.0,0.0,1.0,1.0,1.0,True
anthropic-haiku45,Australia,Cousin,domain,56.60377358490566,9.345794392523365,-0.1202700278958253,1.3460670408976017,1.466337068793427,0.6249999999999999,0.03423805306404627,0.04476039218921117,6.0,0.0,1.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Cousin,role,188.67924528301887,149.53271028037383,-0.9436413698735987,0.1192528361924318,1.0628942060660305,0.48648648648648646,0.042602236094923154,0.04279740170098466,16.0,4.0,9.0,7.0,1.0,1.0,True
anthropic-haiku45,Australia,Cousin,trait,0.0,9.345794392523365,0.6628522175995125,1.7614645062676222,1.0986122886681096,0.49999999999999994,0.04411041774840095,0.0487949406953985,0.0,0.0,0.0,1.0,1.0,1.0,True
anthropic-haiku45,Australia,Family Doctor,domain,58.25242718446602,0.0,-0.1202700278958253,2.4446793295657114,2.5649493574615367,0.8571428571428571,0.09373615738883026,0.17750440524619315,6.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Family Doctor,role,330.0970873786408,210.52631578947367,-0.9436413698735987,0.5466968510193714,1.49033822089297,0.632258064516129,0.08309379181179487,0.0871906351572904,27.0,7.0,9.0,11.0,1.0,1.0,True
anthropic-haiku45,Australia,Family Doctor,trait,9.70873786407767,0.0,-0.43576007106859727,0.6628522175995125,1.0986122886681098,0.5,0.04411041774840095,0.0487949406953985,1.0,0.0,0.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Father,domain,0.0,20.40816326530612,2.4446793295657114,0.8352414171316112,-1.6094379124341003,-0.6666666666666666,0.07376130822286722,0.09328462323031235,0.0,0.0,2.0,0.0,1.0,1.0,True
anthropic-haiku45,Australia,Father,role,102.04081632653062,193.87755102040816,0.3556416142566622,0.8664672380226529,0.5108256237659907,0.25,0.010549651667677913,0.01148240682601498,5.0,5.0,7.0,12.0,1.0,1.0,True
